title,link,job_description,published,companyName,companyLocation
Data Analyst,https://in.indeed.com/company/Otipy/jobs/Data-Analyst-c9305cb0dfafa113?fccid=231f97b87bd1ffbb&vjs=3,"
Create processes and methods to gather data.
Analyze data to identify issues and suggest improvements.
Identify cost-effective delivery modes and schedules.
",Posted20 days ago,Otipy,"Gurgaon, Haryana"
,,"
The Data Engineer will support data scientists, product managers and analysts on data initiatives and will ensure optimal data delivery in the form of data and…
",Posted2 days ago,EY,"Gurgaon, Haryana"
,,"
Coming up with data driven solutions to control risk.
The Data Scientist role will enable you to be at the forefront of latest cutting-edge technology and…
",Posted3 days ago,Scienaptic Systems,"Bengaluru, Karnataka"
,,"
The role requires a data analyst who embodies PayPal values and customer centric approach.
This data analyst will work in a fast-paced environment, replete with…
",PostedJust posted,PayPal,"Bengaluru, Karnataka+1 location"
,,"
Design and develop complex data queries to move and transform data from operational data sources to analytical databases.
Understanding of macros is beneficial.
",Posted30+ days ago,Flipkart,"Bengaluru, Karnataka"
,,"
Representing data quality defect management in cross-functional groups to develop companywide data governance strategies.
In this role, you will:
",Posted2 days ago,Wells Fargo,Telangana+1 location
,,"
Contacting various manufacturers and distributors by email or phone and build strong relationship with them.
Proficient in use of MS office applications.
",Posted9 days ago,S&P Global,"Gurgaon, Haryana+3 locations"
,,"
Implementing and maintaining data standards, business glossaries / data dictionaries to support data governance.
SQL/SAS/Python knowledge a plus.
",PostedToday,Amex,"Gurgaon, Haryana"
,,"
For PV/Complaints Management Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database…
",Posted29 days ago,Cognizant,"Mumbai, Maharashtra+1 location"
,,"
Act as a trusted advisor to the customer; Advise on, gather and define current and future business requirements that best reflect customer needs, based on…
",Posted7 days ago,amdocs,"Pune, Maharashtra"
,,"
Implement, maintain, and monitor data feeds from around the bank into Oracle or other data repositories,.
Collaborate across teams and locations, providing data…
",PostedToday,UBS,"Pune, Maharashtra+2 locations"
,,"
Exploratory data analysis using Microsoft Excel.
Help in building any necessary data processing and analysis.
Function Data Analyst Employment Type: Full-time.
",Posted10 days ago,vPhrase,"Mumbai, Maharashtra"
,,"
Excellent skills in performing large & complex data analysis, data mining, and generating data reports based on requirements.
",Posted30+ days ago,Deloitte,"Hyderabad, Telangana"
,,"
Experience working with large datasets Identify analyse and interpret trends or patterns in complex data sets.
",Posted4 days ago,Capgemini,"Chennai, Tamil Nadu"
,,"
Collects, analyzes and validates data in the enterprise data warehouse against source systems and data governance policies to ensure proper data availability to…
",Posted30+ days ago,LKQ India,"Bengaluru, Karnataka"
,,"
The Know Your Client (KYC) Analyst focuses on client onboarding (COB) and exceptions in line with regulatory standards and jurisdictions.
",Posted17 days ago,Deutsche Bank,"Jaipur, Rajasthan+1 location"
,,"
A data analyst will need to own projects from conceptualization to execution.
Understand and analyze data to drive business insights.
",Posted30 days ago,Myntra.com,"Bengaluru, Karnataka"
,,"
Supports the internal set-up, configuration, data integration, and quality control of data platforms including data warehouses, operational data stores, data…
",Posted1 day ago,Clario,"Bengaluru, Karnataka"
,,"
Identify and support implementation of automated digital methods of capturing and displaying line data and plant data, as well as populating data lakes.
",Posted7 days ago,Unifrax,"Pune, Maharashtra"
,,"
Ability to conduct data analysis, develop and test hypothesis and deliver insights with minimal supervision.
2+ years of relevant analytical experiences working…
",Posted30 days ago,Michael Page,Remote in India
,,"
Experience working with data visualisation tools.
Passion to develop your skills as an analyst.
Creative and inquisitive, with a keen eye for data visuals.
",Posted2 days ago,PokerStars,"Hyderabad, Telangana"
,,"
Lead on AI data project to develop predictive insights.
Strong experience in database system artichecture, BI technologies (such as Tableau), data management,…
",Posted2 days ago,Schneider Electric,"Bengaluru, Karnataka"
,,"
Extensive reporting experience, including process and data utilisation understanding.
Interacts directly with stakeholders to understand the problem statement…
",Posted2 days ago,Walmart Global Tech India,"Bengaluru, Karnataka"
,,"
Work on data labeling tool(s) and annotate data for machine learning models.
Candidates with experience in between 1 to 5 years, and expertise in data…
",Posted16 days ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka+1 location"
,,"
Collaborating with a team of data engineers and data scientists to translate business requirements clearly.
Good understanding of data warehousing concepts.
",Posted27 days ago,CloudCover,India
,,"
2-4 years' in data analyst / QA role ( BPO or IT field).
Drive defining new data collection and analysis processes and then use statistical methods to analyze…
",Posted30+ days ago,Comviva,"Gurgaon, Haryana"
,,"
Ensure smooth ETL and data flows execution, data assembly, cleansing, validation, data modelling and documentation.
SQL Azure and Python, PowerBI Developer.
",Posted2 days ago,EY,"Bengaluru, Karnataka+1 location"
,,"
The role may also need expertise in managing clinical data management projects.
The team is responsible for performing data management activities including…
",Posted2 days ago,Accenture,"Bengaluru, Karnataka"
,,"
Requirements:Collaborate with business, strategy, marketing, data warehousing and tech team to understand/review the data requirements and structure of the data…
",Posted30+ days ago,PT Commeasure Solutions Indonesia (Reddoorz),India
,,"
Ingestion of structured and unstructured data.
Data Analyst will be part of a cross-disciplinary team, working closely with data scientists, software engineers,…
",Posted19 days ago,bp,"Pune, Maharashtra"
,,"
Data Quality Controls - Ensure data integrity of the book of work by identifying and overseeing implementation of data quality controls across Finance CDO data…
",Posted5 days ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
Data Analyst,https://in.indeed.com/rc/clk?jk=2e29a48c1e7fa43a&fccid=9a9be59d4f84219d&vjs=3,"
Minimum of 3+ years of direct Data analysis experience.
Proficiency in Google Ads Analytics & Reporting and other relevant paid search platforms.
",Posted27 days ago,Group 8A,India
Markets Data Management Analyst,https://in.indeed.com/rc/clk?jk=58760df38d407d6c&fccid=b6aec8af79c2b278&vjs=3,"
Acting as a point of contact for static data queries and requests.
You’ll need to have excellent analytical skills, with a structured and methodical approach…
",Posted2 days ago,NatWest Markets,"Chennai, Tamil Nadu+1 location"
Lead Data Analyst,https://in.indeed.com/rc/clk?jk=992706eb990fe137&fccid=b25343f021fb51d7&vjs=3,"
Data Factory: experience using data factory in an enterprise solution to build data pipelines would be an added advantage.
",Posted30+ days ago,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
IA Data Analyst/Scientist,https://in.indeed.com/rc/clk?jk=e9e28711e580e123&fccid=e127f4594cdf24f4&vjs=3,"
Work with data owners to gather, process and blend large volumes of data from multiple systems, and ensure the data is of sufficient quality.
",Posted10 days ago,Credit Suisse,"Pune, Maharashtra"
Data Analyst (Hyderabad),https://in.indeed.com/rc/clk?jk=379cfb77c2e19978&fccid=a21a6ce2a0cc935f&vjs=3,"
An understanding of data warehousing and data modelling concepts.
Audit data sets to check and maintain accurate, complete, and consistent recruitment data…
",Posted30+ days ago,Resource Solutions,"Hyderabad, Telangana"
Analyst-Data,https://in.indeed.com/rc/clk?jk=1d595cc95432fc00&fccid=c1bec49d1ea92b43&vjs=3,"
Data extraction & reporting: Extract reports/raw data from various internal and external sources, collate the data and report out to recipients of these reports…
",Posted30+ days ago,PayU,"Bengaluru, Karnataka"
Data Analyst for DLAT,https://in.indeed.com/rc/clk?jk=fc6b45c633956186&fccid=8dc4399ddb463d4a&vjs=3,"
Extract from tracking system all data to create dashboard report.
Extract from tracking system all data to create dashboard report.
",Posted30+ days ago,Schneider Electric,"Gurgaon, Haryana"
Data Analytics,https://in.indeed.com/rc/clk?jk=4000227187f3affd&fccid=47d6d98c145c184f&vjs=3,"
Strong background on statistics and data analysis.
Performs advanced data mining & analytics on all productivity and reliability data to identify opportunities…
",PostedJust posted,Infochola,India
Data Management Analyst,https://in.indeed.com/rc/clk?jk=500b02d73be62513&fccid=1c76c3a36f6c7557&vjs=3,"
Work with Business and IT SMEs to define the bank's data, in line with our enterprise wide 'data language'.
Knowledge of Banking or Capital Markets and familiar…
",Posted1 day ago,UBS,"Pune, Maharashtra"
Data/Information Mgt Analyst 2,https://in.indeed.com/rc/clk?jk=72416d0120c6f587&fccid=5bcd1ef0a7f4fb99&vjs=3,"
Interprets data and makes recommendations.
This function covers incumbents responsible for various data activities, which include database administration, data…
",Posted5 days ago,Citi,"Pune, Maharashtra+2 locations"
Analyst - Tech Consulting - National - Data & Analytics - Ba...,https://in.indeed.com/rc/clk?jk=e1ff2f259a17ee0f&fccid=1544766d4c2915b0&vjs=3,"
An important part of your role will be to assist Seniors.
& Managers while actively participating within the client engagement.
Ideally you’ll also have.
",Posted6 days ago,EY,"Bengaluru, Karnataka"
USI- BGS -PMO –Analyst-Hyderabad,https://in.indeed.com/rc/clk?jk=a7e6a86d8dc2db23&fccid=9e215d88a6b33622&vjs=3,"
Identify patterns in data relating to missing or passive responses.
Prior knowledge of reporting and analytics, data visualization and project management…
",Posted10 days ago,Deloitte,"Hyderabad, Telangana"
Data Analyst,https://in.indeed.com/rc/clk?jk=782439a822f2f03f&fccid=2c5124213c13672a&vjs=3,"
Support management team and the Heads of Department with data-driven analysis.
The financial data will be provided to be formulated into a representational…
",Posted28 days ago,BenoGroup,"Ghaziabad, Uttar Pradesh"
"Analyst, Data",https://in.indeed.com/rc/clk?jk=b77122b039a94dfe&fccid=66530c16c7ccb793&vjs=3,"
Design and implement data models in Hadoop.
Define business problems, identify solutions, provide analysis and insights from the client’s data.
",Posted15 days ago,GXO Logistics,"Mumbai, Maharashtra"
Data Quality Analyst - C10 - Chennai (R21031191),https://in.indeed.com/rc/clk?jk=f6c0b1f6bc477e5f&fccid=5bcd1ef0a7f4fb99&vjs=3,"
Implement data quality strategies to effectively govern data and improve data quality.
Works with data quality partners and Technology teams to identify and…
",Posted1 day ago,Citi,"Chennai, Tamil Nadu"
Process Associate - Data Analyst,https://in.indeed.com/rc/clk?jk=90aab3e3a41f1fca&fccid=afe30394bfba1470&vjs=3,"
The role will include the primary responsibility of collecting the bank statement data from sources document, review and cleanse it properly and model that data…
",Posted1 day ago,Genpact,"Pune, Maharashtra+1 location"
Data Research Analyst Internship,https://in.indeed.com/rc/clk?jk=eb43d08b86e939c5&fccid=bdad58a8df3ba8a4&vjs=3,"
Ability to manage large data sets.
Excellent interpersonal skills: Data research analysts have to work with research teams, data scientists, engineers, and…
",Posted30+ days ago,Crypto Mize,"Delhi, Delhi"
Data warehouse Business Analyst,https://in.indeed.com/rc/clk?jk=85249348056720a3&fccid=9efc09e838c49044&vjs=3,"
Working knowledge of data query tools, Business Objects.
Participate in the creation of Business Requirements Document.
Use Case Analysis and Documentation.
",Posted14 days ago,Codvo.ai,"Remote in Pune, Maharashtra"
Clinical data analyst,https://in.indeed.com/rc/clk?jk=f31445727f119bf3&fccid=3d93143c99ff89a3&vjs=3,"
Perform ad-hoc data analysis of claims and EMR data to identify clinical patterns.
Map clinical codes to unstructured data.
",Posted30+ days ago,Milliman,"Gurgaon, Haryana"
Data Engineering Analyst,https://in.indeed.com/rc/clk?jk=649e90b4681e6cc3&fccid=37a309344fac585c&vjs=3,"
You create, optimize and maintain data storage and platforms so that our users can access high quality and reliable data assets and solutions.
",Posted15 days ago,Telstra,"Bengaluru, Karnataka"
Data Analyst - Contractor,https://in.indeed.com/rc/clk?jk=65a7bcad65aa8f38&fccid=d621f9a5603cfedd&vjs=3,"
Work with Business analysts and Systems analysts and understand requirements and then research information for our customers.
",Posted13 days ago,Verisk,"Gurgaon, Haryana"
Data Analyst,https://in.indeed.com/rc/clk?jk=e75b96cc178f202f&fccid=016a6e84e1ade532&vjs=3,"
Providing technical expertise in data storage structures, data mining, and data cleansing.
1-3 years of work experience as a data analyst or in a related field.
",Posted23 days ago,Newton School,"Bengaluru, Karnataka"
Applied AI ML Analyst (Data Annotation),https://in.indeed.com/rc/clk?jk=aaed1a0b851af5da&fccid=aaf3b433897ea465&vjs=3,"
Experience with data annotation, labeling, entity disambiguation and data enrichment.
Work on data labeling tool(s) and annotate data for machine learning…
",Posted13 days ago,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra"
Graduate Analyst,https://in.indeed.com/rc/clk?jk=618ded9288c30c16&fccid=057abf3fd357e717&vjs=3,"
Applies previous problem solving experiences to analyse, develops supportive data and rationale for alternative solutions.
Decision-making and Problem Solving.
",Posted1 day ago,Barclays,"Delhi, Delhi+1 location"
CB_Wholesale KYC Operations_Client Data Analyst,https://in.indeed.com/rc/clk?jk=5b717737c3042ba7&fccid=aaf3b433897ea465&vjs=3,"
Review of client data/processes to meet firm wide quality standards.
Collection and verification of confidential client data via publically available and…
",Posted2 days ago,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana"
Business Analyst - DACL,https://in.indeed.com/rc/clk?jk=21095140d3a8fbbe&fccid=9102c38c15134e6c&vjs=3,"
 Drive technological implementations using new age tech. tools and cloud over data.
 Requirement gathering in detail having high level of understanding…
",Posted3 days ago,Maruti Suzuki India Ltd,"Gurgaon, Haryana"
Data Analyst,https://in.indeed.com/rc/clk?jk=5cd4bb972b29c3c1&fccid=617d7f961cfcf54a&vjs=3,"
Expert data visualization techniques for charts and reports - good knowledge of Microsoft Power BI and/or Tableau.
",Posted23 days ago,Electronic Arts,"Hyderabad, Telangana"
Data Analyst,https://in.indeed.com/rc/clk?jk=db4f937d3808ff82&fccid=e487a242d9afca1f&vjs=3,"
Analyzing data sets, extracting data from multiple data sources like Microsoft Excel, Access, SQL Databases, Text Files, and manual Files etc.
",Posted30+ days ago,Infoveave,"Bengaluru, Karnataka"
Data & Analytics Analyst,https://in.indeed.com/rc/clk?jk=5fa3656295b52920&fccid=4a3a2b1eb3ec0691&vjs=3,"
Creating and executing quality assurance at various stages of the project in order to validate the analysis and to ensure data quality, identify data…
",Posted1 day ago,NatWest Group,"Delhi, Delhi+2 locations"
Professional 2 Data Analyst (51005671),https://in.indeed.com/rc/clk?jk=b7cfb4dc8b0ce41d&fccid=feaabf8e6a699d3c&vjs=3,"
Applies data analysis or data modeling techniques to establish, modify or maintain data structures and their associated components to increase efficiency of…
",Posted30+ days ago,DXC Technology,"Bengaluru, Karnataka"
,,"
We are a group of engineers and analysts focused on improving business performance through data analysis.
Strong mathematical skills to help collect, measure,…
",Posted24 days ago,Saras Analytics,"Hyderabad, Telangana"
,,"
Sourcing data and using various data provisioning tools to order data into data sets for interactive analysis.
",Posted28 days ago,Times World Information Technology,"Thiruvananthapuram, Kerala"
,,"
Study and convert functional requirements into technical tasks.
Analyse, calculate and provide estimates.
Ensure the product meets the requirements.
",Posted24 days ago,AlphaExpression Technologies,"Pattom, Thiruvananthapuram, Kerala"
,,"
Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…
",Posted28 days ago,DXC Technology,"Indore, Madhya Pradesh+5 locations"
,,"
Excellent communication and data presentation skills.
Do data analyses and statistical techniques to develop solutions to get meaningful information of data to…
",Posted14 days ago,OPK eServices,"Gurgaon, Haryana"
,,"
Connecting data sources, importing data, and transforming data for Business intelligence.
Analytical thinking for translating data into informative reports and…
",Posted1 day ago,Zessta,"Hyderabad, Telangana"
,,"
The role may also need expertise in managing clinical data management projects.
The team is responsible for performing data management activities including…
",PostedToday,Accenture,"Bengaluru, Karnataka+2 locations"
,,"
After the extraction of the data, therefore, Data Analysts have to convert the raw data into structured data by resolving the errors in the data, removing…
",Posted30+ days ago,Crypto Mize,"Delhi, Delhi"
,,"
Strategic IB AML data sourcing Analysis and documentation.
Ability to perform business and data analysis alongside working with technology colleagues,.
",PostedToday,Barclays,"Pune, Maharashtra"
,,"
Providing publishers, societies and entertainment services with essential reference data for rights management.
Eye for detail, Logical thought process.
",Posted3 days ago,Nielsen,"Bengaluru, Karnataka"
,,"
Perform quality assurance on extracted and imported data.
Import client contract data in Enlighta web-based application.
",Posted17 days ago,Enlighta,"Navi Mumbai, Maharashtra"
,,"
Relevant experience with large data sets, ETL, data warehousing, database structures (SQL, Oracle, etc.), relational database technologies and strong query…
",Posted30+ days ago,Cotiviti India,Maharashtra
,,"
Understanding in data mining, data modelling, data integration, and database and data warehouse design.
Basic knowledge of or exposure to machine learning, data…
",Posted21 days ago,Guru & Jana Chartered Accountants,"Remote in Bengaluru, Karnataka"
,,"
Work involves XML or ePub (HTML+CSS) creation from various documents and editing of PDF file using Acrobat.
Project training will be given by the company.
",Posted16 days ago,i-Tech Infonet (P) Ltd,"Rajkot, Gujarat"
,,"
Review of client data/processes to meet firm wide quality standards.
Collection and verification of confidential client data via publically available and…
",PostedToday,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka+1 location"
,,"
Handle, manipulate and analyse data and information responsibly.
A career in Finance, within Internal Firm Services, will provide you with the opportunity to…
",Posted1 day ago,PwC,"Gurgaon, Haryana"
,,"
Your job will be to improve quality practitioner data in Practitioner Directory through data validation and curation techniques.
",PostedToday,Athenahealth,"Chennai, Tamil Nadu"
,,"
Understand the data flow, key consumption and production of data and generate ideas to automate data pipelines.
Employee Stock Investment Plan (ESIP).
",Posted1 day ago,Franklin Templeton Investments,"Hyderabad, Telangana"
,,"
She/he is an expert with data modelling, design and business intelligence tools.
The candidate should be comfortable interfacing with technology systems and be…
",Posted16 days ago,HP,"Bengaluru, Karnataka"
,,"
Must have a passion for data, structured or unstructured.
High-level proficiency with SQL based query languages and relational data concepts.
",Posted21 days ago,RPA Infotech,"Gurgaon, Haryana"
,,"
Analytical reasoning and complex problem solving involving mathematical programming and data problems.
You will provide technical support through a deeper…
",PostedJust posted,Boston Consulting Group,"Bengaluru, Karnataka"
,,Eligibility To handle tasks independently AgeBelow 35…,Posted30+ days ago,PKF Group,"Jalandhar, Punjab"
,,"
Maintain data integration documentation and process flow of all data interfaces.
Design the rules and identify the data attributes for data de-identification…
",Posted2 days ago,Healthedge,"Hyderabad, Telangana"
,,"
Manages data correction requirements, performs peer review and ensures data quality standards.
The Associate Data Analyst role supports the data collection by…
",Posted10 days ago,Urjanet,"Chennai, Tamil Nadu"
,,"
Parity Computing, a unit of RELX/Elsevier, is inviting applications for data analyst positions for its OrgDB product to curate organization metadata and name…
",Posted28 days ago,RELX,"Delhi, Delhi+1 location"
,,"
Knowledge of data governance & master data management concepts.
You will be responsible for the collection of requirements, as well as for data modeling, data…
",Posted28 days ago,Morgan Stanley,"Bengaluru, Karnataka"
,,"
Technical Lead for ECM is expected to support implementation of OpenText AppWorks solution, including production support, enhancements and project related work.
",PostedToday,Olam Group,India
,,"
Analyze and support lab testing data analysis.
Process and manage Next Generation Sequencing (NGS) data analysis.
",Posted8 days ago,PerkinElmer,India
,,"
Data mapping, data Analysis and strong problem-solving skills.
Provide technical expertise plus SME guidance to capture and document technical solutions and…
",Posted30+ days ago,Sage IT India,"Pune, Maharashtra+2 locations"
,,"
Ability to understand and provide support on resolving the data discrepancies, measurement and data mismatch issues and standardization.
",Posted14 days ago,Optum,"Hyderabad, Telangana"
Associate Analyst - Data Analyst,https://in.indeed.com/rc/clk?jk=1831bb9e6bd92f40&fccid=003656df63cede32&vjs=3,"
Experience in translating requirements into fit for purpose data models, data processing designs and data profile reportsExperience in the use of data modeling…
",Posted16 days ago,AstraZeneca,"Chennai, Tamil Nadu"
Data Quality Analyst,https://in.indeed.com/rc/clk?jk=faf0cee3e1f2dd49&fccid=38c0d5e4f2a99768&vjs=3,"
Agreeing data quality rules with data owners/data stewarts.
Conduct investigations into data flows and data lineage.
",Posted24 days ago,Arup,"Hyderabad, Telangana"
Banking.Data and Documents Analyst,https://in.indeed.com/rc/clk?jk=70f1d5e7f7f944fc&fccid=58a0b6e7b7d51d7e&vjs=3,"
Analyze data using Microsoft Excel and produce reports for the internal and external stakeholders;
Maintain and update customer data in Citco Banks information…
",Posted30+ days ago,Citco,"Hyderabad, Telangana"
Dataset Registration Analyst,https://in.indeed.com/rc/clk?jk=d448ecd6f9793676&fccid=1c76c3a36f6c7557&vjs=3,"
Conduct data requirements-gathering activities, like evaluating services, deep dive analysis and end user interviews.
",Posted1 day ago,UBS,"Mumbai, Maharashtra"
Senior Clinical Data Analyst,https://in.indeed.com/rc/clk?jk=815d18886388143e&fccid=a2ce486f2a6b8708&vjs=3,"
Ability to independently interact with Sponsor liaison to discuss data issues/project data validation requirements, as needed.
",PostedToday,Parexel,India
Jr. Data Analyst (Freshers are welcome to apply),https://in.indeed.com/rc/clk?jk=a9cbadffb3d416ca&fccid=c15e58c229888ed7&vjs=3,"
Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines.
",Posted30+ days ago,Institutional Shareholder Services,"Mumbai, Maharashtra"
Manufacturing Data Analyst,https://in.indeed.com/rc/clk?jk=02bf0f06da972670&fccid=de113fe345574782&vjs=3,"
Experience in analyzing source system data and data flows using SQL, data visualization and other techniques, working with structured and unstructured data.
",Posted6 days ago,Molex,"Bengaluru, Karnataka"
Financial Data Analyst,https://in.indeed.com/rc/clk?jk=5e3df7f896ad6d00&fccid=ddbb57bccf807e0b&vjs=3,"
Reconcile the Books of Accounts, prepare client data load files and migrate old financial data to new ERP.
Use various tools and processes to complete Financial…
",Posted14 days ago,AppleTech,"Vadodara, Gujarat"
Senior Data Analyst I,https://in.indeed.com/rc/clk?jk=ebdbd4629df551a8&fccid=60b8046800e23554&vjs=3,"
Analyze Client and or Insurance data domain adhoc data requests.
Passion for data and experience working within a data driven organization.
",Posted6 days ago,XL Catlin,"Gurgaon, Haryana"
Reporting & Data Analyst,https://in.indeed.com/rc/clk?jk=f9d5e57a4a12573b&fccid=10b5c722d846df43&vjs=3,"
O Experience in working with organizational/workforce data.
O Demonstrates exceptional judgment and discretion when dealing with highly sensitive people data.
",Posted24 days ago,MasterCard,"Hybrid remote in Pune, Maharashtra"
Data Analyst,https://in.indeed.com/rc/clk?jk=aa4334776933506c&fccid=2dd390c3a48a7ed0&vjs=3,"
Techno-Functional analyst who can create data set based on the requirements from single or multiple source systems.
Hands on experience in writing SQL queries.
",Posted30+ days ago,KPMG,"Bengaluru, Karnataka"
Business Data Analyst,https://in.indeed.com/rc/clk?jk=7dec341f5d3c1673&fccid=9917de3c28f569f6&vjs=3,"
Raw data sources and clarify visualization requirements / goals.
Drives data sanctity by bringing in various checks and controls.
",Posted16 days ago,JLL,"Bengaluru, Karnataka"
Data Analyst,https://in.indeed.com/rc/clk?jk=173c4796a638def1&fccid=37f39930e85bec2a&vjs=3,"
Create and maintain rich interactive visualizations through data interpretation and analysis, integrating various reporting components from multiple data…
",Posted9 days ago,Freshworks,"Chennai, Tamil Nadu"
"Analyst, Data Gov II",https://in.indeed.com/rc/clk?jk=543362745c991e2e&fccid=61e847dda35dc377&vjs=3,"
Monitor automated data quality tools to help identify gaps in the data.
Conduct review of key financial input data reconciliations for source data (example…
",Posted16 days ago,Invesco,"Administrative Building, Andhra Pradesh"
Data Analyst,https://in.indeed.com/rc/clk?jk=10cddbc1da7d5e09&fccid=af63cb2d55132990&vjs=3,"
Candidates with 1 to 2 years’ experience statistical data analysis.
",Posted21 days ago,V-Align Technologies,"Bengaluru, Karnataka"
,,"
Strong practical experience (5+ years) with data flow diagrams, capturing and using meta-data, data modelling, relational databases and bridge forward/bridge…
",Posted30+ days ago,Barclays,"Pune, Maharashtra"
,,"
High levels of attention to detail, with the ability to log data accurately, every time.
Writing queries for MSSQL, ORACLE, MYSQL using various Joins as per the…
",Posted1 day ago,Enverus,"Bengaluru, Karnataka"
,,"
Experienced in data processing and data mining with a wide variety of data and formats; Able to handle both structured and unstructured data (i.e. Portage SQL…
",Posted1 day ago,Yara,"Bengaluru, Karnataka"
,,"
Collaboratively develop strategies to use GIS data outputs, infographics, analytics, and data visualization into various content and product delivery.
",PostedJust posted,Panagora Group,"New Delhi, Delhi"
,,"
In practice, this will mean embracing and solving complex data challenges, defining and maintaining fit-for-purpose data models, continuously improving our data…
",Posted3 days ago,RELX,"Chennai, Tamil Nadu"
,,"
The analyst will be responsible for collecting, analyzing, and reporting on website analytics data.
Proven experience in analyzing web activities data.
",Posted3 days ago,TE Connectivity,"Bengaluru, Karnataka"
